sourceNodeIndex,targetNodeIndex,weight
1178,58,0.0
1178,89,0.0
1178,2,0.0
961,1380,0.0
961,1211,18.109997
961,1009,0.0
961,212,0.0
961,563,18.109997
401,753,0.0
401,810,49.097755
401,1378,0.0
401,1198,35.663353
401,1189,0.0
401,90,0.0
1350,1433,48.48273
1350,50,0.0
1350,200,0.0
1350,278,0.0
1133,1328,0.0
1133,994,0.0
1133,871,0.0
1133,464,0.0
1121,1321,0.0
1121,1457,0.0
1121,1312,44.7181
1121,988,0.0
1121,1048,44.7181
1121,1096,44.75006
1121,477,0.0
1121,446,0.0
1121,501,0.0
1121,487,44.7181
1373,605,25.61399
1373,1167,0.0
1373,1257,0.0
1373,1143,47.48531
882,980,0.0
1080,1324,0.0
1080,843,10.326843
1080,986,10.326843
1080,971,10.326843
1080,83,0.0
1080,991,0.0
1080,797,27.205397
588,1339,13.278151
588,1434,38.815647
433,695,0.0
433,483,5.594847
1175,1416,38.953228
1175,1433,0.0
1175,851,0.0
1175,493,0.0
1175,60,38.953228
1443,488,30.983965
1443,1062,47.093452
1443,43,30.983965
1443,427,47.093452
1443,302,0.0
1280,1284,22.074615
1280,1414,0.0
1280,1401,0.0
1280,716,19.123188
1280,772,43.465355
1280,1019,0.0
1280,927,43.465355
1280,458,0.0
1280,1024,20.565142
1280,462,0.0
1280,655,20.565142
1280,171,0.0
1280,1041,22.074615
236,1225,0.0
236,258,25.966478
236,1129,0.0
236,765,25.966478
4,620,0.0
4,975,18.207453
4,580,22.329609
1118,734,30.548021
1118,72,0.0
329,537,0.0
329,1384,15.23068
329,432,0.0
329,692,15.23068
329,127,0.0
897,1327,13.630898
897,1202,35.714577
897,837,23.626207
897,124,18.045925
897,188,0.0
897,597,13.582346
897,55,13.582346
897,504,0.0
1130,1048,0.0
1130,546,0.0
1380,1442,0.0
1380,642,0.0
1380,961,0.0
1380,1211,0.0
1380,802,42.56165
1380,1009,0.0
1380,861,0.0
1380,563,0.0
1380,874,42.56165
618,817,0.0
618,758,27.916822
618,1022,0.0
618,362,0.0
618,614,19.717703
675,958,0.0
675,1291,0.0
675,1037,38.462566
675,32,18.366833
675,627,0.0
675,553,32.820415
705,981,41.188232
705,1381,0.0
705,832,34.522686
705,1271,32.463608
705,1086,34.522686
705,585,7.7812324
705,410,32.463608
705,586,41.188232
705,641,41.188232
817,1022,29.971579
817,1183,0.0
817,1411,0.0
817,618,0.0
817,0,25.022884
817,362,28.054268
817,614,27.916822
817,758,27.916822
817,457,0.0
107,1205,0.0
107,448,13.467585
107,306,0.0
107,1187,0.0
107,125,42.89596
107,1199,13.467585
107,756,17.132936
107,531,13.467585
107,1234,17.132936
107,569,17.132936
107,29,17.132936
1027,1359,0.0
1027,545,0.0
1027,437,0.0
1027,13,29.443256
1027,855,29.443256
585,705,7.7812324
585,981,7.7812324
585,1444,15.6784115
585,1381,7.7812324
585,832,28.506056
585,1271,0.0
585,790,19.65667
585,586,42.99673
585,1086,37.449707
585,641,28.314972
585,376,11.179097
585,228,11.179097
585,410,31.46174
141,631,0.0
141,1059,0.0
141,222,35.549534
141,1462,40.40261
141,392,0.0
629,1115,0.0
629,721,0.0
629,559,0.0
629,471,0.0
54,1025,32.427204
54,120,11.178535
54,1011,17.738659
54,69,12.3641405
54,413,12.3641405
54,232,32.427204
54,427,0.37989765
718,32,0.0
718,349,2.3274977
1313,1438,38.755074
1313,447,0.0
1313,576,0.0
1313,973,0.0
1313,673,0.0
1313,1028,44.527817
447,1313,0.0
447,576,38.755074
447,973,0.0
447,1438,0.0
447,1028,44.527817
160,1108,13.668263
160,178,0.0
160,1362,0.0
160,60,0.0
174,611,49.929672
174,774,28.466965
174,1112,0.0
174,352,0.0
174,285,0.0
174,568,28.466965
174,258,0.0
174,524,49.929672
175,1144,0.0
175,1082,32.105934
175,491,0.0
175,818,0.0
175,449,28.554228
175,704,28.554228
175,1061,40.01577
1342,1460,40.293034
1342,1235,19.08197
1342,755,40.293034
1342,862,0.0
1342,291,17.15436
1342,1114,0.0
812,1407,0.0
812,521,21.981651
812,540,0.0
812,751,0.0
812,711,0.0
812,481,38.429466
812,428,0.0
812,20,0.0
812,218,21.981651
812,24,38.429466
880,1077,12.245131
880,1348,24.389528
880,1385,0.0
880,1376,36.538532
880,1332,24.389528
880,564,0.0
880,158,0.0
880,507,42.071625
880,548,38.349728
880,25,38.349728
880,453,40.121773
880,339,29.257286
880,450,0.0
574,724,35.979317
574,1427,0.0
574,909,0.0
574,1371,0.0
574,430,0.0
574,117,0.0
574,547,0.0
574,181,0.0
574,380,0.0
645,1042,28.562742
645,435,0.0
645,203,0.0
946,1186,0.0
946,101,38.96184
946,913,23.626284
946,797,23.626284
198,359,41.40025
198,844,0.0
198,811,41.40025
198,64,0.0
266,688,0.0
266,699,35.352524
266,1120,12.956205
266,281,0.0
266,1127,14.775603
266,787,0.0
266,632,35.352524
266,870,11.423945
266,1282,12.956205
266,219,12.956205
611,774,0.0
611,1112,42.54796
611,174,49.929672
611,568,0.0
611,524,0.0
1144,454,0.0
1144,175,0.0
1144,1082,18.363531
1144,1136,12.954597
1144,491,12.954597
1144,818,0.0
1144,168,40.19542
1144,1101,40.19542
1144,449,0.0
1144,704,0.0
1144,1061,40.01577
1144,26,12.954597
954,1428,0.0
954,668,0.0
804,987,0.0
804,1000,0.0
804,1436,28.31813
804,314,48.369656
804,591,48.369656
804,17,29.150734
402,982,0.0
402,1250,0.0
402,1064,0.0
402,1126,46.10996
1141,1444,14.69744
1141,376,0.0
1141,322,26.566835
344,1090,42.349518
344,805,36.947563
344,891,36.947563
344,1341,0.0
344,558,36.947563
344,1319,42.349518
344,985,33.39764
344,98,33.39764
1369,1395,33.438663
1369,1399,42.832832
1369,408,0.0
1369,914,42.832832
1369,561,33.438663
1369,353,0.0
120,846,9.0684805
120,1011,13.4675045
120,133,9.0684805
120,200,9.0684805
120,278,0.0
120,413,13.4675045
120,767,0.0
120,746,0.0
120,54,11.178535
120,69,9.0684805
317,888,0.0
317,1418,18.508326
317,896,30.023851
317,579,39.155197
317,280,0.0
317,178,18.508326
317,182,39.155197
885,1404,17.643171
885,1346,0.1335543
885,894,0.0
885,1266,17.643171
885,1064,0.0
774,1112,0.0
774,1129,24.59338
774,174,28.466965
774,611,0.0
774,532,24.59338
774,572,0.0
774,568,0.0
774,524,24.59338
337,1195,9.564394
337,1032,0.0
337,1278,38.743423
337,992,34.632435
337,857,39.353836
337,535,39.353836
337,617,38.743423
337,970,0.0
337,1021,0.0
337,1071,23.964283
337,593,9.564394
337,830,0.0
337,1454,34.632435
337,745,25.515013
699,1265,0.0
699,1120,22.409094
699,966,17.941278
699,1094,0.0
699,1282,40.255787
699,688,35.352524
699,266,35.352524
699,165,18.272999
699,219,22.409094
699,632,0.0
699,183,17.941278
699,513,17.941278
829,1358,12.025797
829,1383,0.0
